title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
Bomb City,0,tt4351548,en,Bomb City,"A crime-drama, about the cultural aversion of a group of punk rockers in a conservative Texas town. Their ongoing battle with a rival, more-affluent clique leads to a controversial hate crime that questions the morality of American justice.",31/03/2017,95.0,"The more I see of man, the more I like dogs.",59000
Along with the Gods: The Two Worlds,0,tt7160070,ko,ì‹ ê³¼í•¨ê»˜-ì£„ì™€ ë²Œ,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, heâ€™s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",20/12/2017,139.0,Fate continues even after death,1908823
Thoroughbreds,0,tt5649108,en,Thoroughbreds,"Two teenage girls in suburban Connecticut rekindle their unlikely friendship after years of growing apart. In the process, they learn that neither is what she seems to be, and that a murder might solve both of their problems.",09/03/2018,92.0,Good breeding gone bad,2830775
Rendel,1686858,tt3881026,fi,Rendel,"A Finnish superhero, a masked vigilante Rendel seeks for revenge and fights against VALA, the huge criminal organization.",22/09/2017,105.0,Revenge begets revenge.,1891907
Film Stars Don't Die in Liverpool,10000000,tt5711148,en,Film Stars Don't Die in Liverpool,"Liverpool, 1978: What starts as a vibrant affair between a legendary femme-fatale, the eccentric Academy Award-winning actress Gloria Grahame, and her young lover, British actor Peter Turner, quickly grows into a deeper relationship, with Turner being the person Gloria turns to for comfort.",17/11/2017,105.0,"Love, just like in the movies.",3179847
Just Getting Started,22000000,tt5721088,en,Just Getting Started,"Duke Diver is living the high life as the freewheeling manager of a luxurious resort in Palm Springs, Calif. He soon faces competition from Leo, a former military man who likes the same woman that Duke is interested in. When Diver's past suddenly catches up with him, he must put aside his differences and reluctantly team up with Leo to stop whoever is trying to kill him.",01/12/2017,91.0,Chivalry meets rivalry,6069605
Isle of Dogs,62770198,tt5104604,en,Isle of Dogs,"In the future, an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.",23/03/2018,101.0,Welcome to the Isle of Dogs.,64207623
Beirut,0,tt4669264,en,Beirut,A former U. S. diplomat returns to service in order to save a former colleague in Beirut.,11/04/2018,110.0,"Beirut, 1982: The Paris of the Middle East Was Burning",7258534
Alpha,0,tt4244998,en,Alpha,"After a hunting expedition goes awry, a young caveman struggles against the elements to find his way home.",17/08/2018,96.0,Experience the incredible story of how mankind discovered man's best friend,35808437
Life of the Party,30000000,tt5619332,en,Life of the Party,"Dumped by her husband, longtime housewife Deanna turns regret into reset by going back to college. Winding up at the same school as her daughter, Deanna plunges headlong into the campus experience â€“ embracing fun, freedom and frat boys.",10/05/2018,105.0,Give life the old college try,61700416
Hotel Transylvania 3: Summer Vacation,80000000,tt5220122,en,Hotel Transylvania 3: Summer Vacation,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship's captain, Ericka, who's secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",30/06/2018,97.0,,100176000
Sicario: Day of the Soldado,35000000,tt5052474,en,Sicario: Day of the Soldado,FBI agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the U.S. border.,27/06/2018,122.0,No rules this time,50065850
Tully,0,tt5610554,en,Tully,"Marlo, a mother of three including a newborn, is gifted a night nanny by her brother. Hesitant to the extravagance at first, Marlo comes to form a bond with the thoughtful, surprising, and sometimes challenging nanny named Tully.",04/05/2018,96.0,See how the mother half lives.,11844986
The Unknown Soldier,8000000,tt4065552,fi,Tuntematon sotilas,"The film follows Finnish army machine gun company in Continuation War against Soviet Union, 1941â€“1944. Based on VÃ¤inÃ¶ Linna's best selling novel Tuntematon Sotilas (The Unknown Soldier) and the novel's uncensored version, Sotaromaani (A War Novel).",27/10/2017,179.0,"Finland, behold, thy daylight now is dawning.",15550000
Shortwave,0,tt5152640,en,Shortwave,"A modern and unrelentingly tense psychological thriller based on a theory of the origins of shortwave radio frequencies, Shortwave is an unnerving reminder that some stones are best left unturned.",04/06/2016,85.0,,350000
Red Sparrow,69000000,tt2873282,en,Red Sparrow,"Prima ballerina, Dominika Egorova faces a bleak and uncertain future after she suffers an injury that ends her career. She soon turns to Sparrow School, a secret intelligence service that trains exceptional young people to use their minds and bodies as weapons. Dominika emerges as the most dangerous Sparrow after completing the sadistic training process. As she comes to terms with her new abilities, she meets a CIA agent who tries to convince her that he is the only person she can trust.",28/02/2018,140.0,Seduce. Deceive. Repeat.,147988192
Ocean's Eight,70000000,tt5164214,en,Ocean's Eight,"Debbie Ocean, a criminal mastermind, gathers a crew of female thieves to pull off the heist of the century at New York's annual Met Gala.",07/06/2018,111.0,Every con has its pros,296877762
Oppam,1000000,tt5548032,ml,à´’à´ªàµà´ªà´‚,"Jayaraman (Mohanlal) is born as a blind man but with heightened senses of smell, sound and touch. He is trained in the martial art of Kalaripayattu. He works as an elevator operator in an apartment where many reputed people live. One day he happens to encounter a murder in a flat. The killer escapes and Jayaraman is charged with the murder. To prove his innocence to the law, Jayaraman must now find and kill the true murderer.",08/09/2016,157.0,,10000000
Hotel Artemis,0,tt5834262,en,Hotel Artemis,"A near-future thriller, set in its own distinctive crime universe, ""Hotel Artemis"" follows a nurse who runs an underground hospital for Los Angeles' most sinister criminals, and finds that one of her patients is actually there to assassinate another.",07/06/2018,97.0,No guns. No cops. No killing the other patients.,12371132
Mary Magdalene,0,tt5360996,en,Mary Magdalene,"Set in the Holy Land in the first century C.E., a young woman leaves her small fishing village and traditional family behind to join a radical new social movement. At its head is a charismatic leader, Jesus of Nazareth, who promises that the world is changing. Mary is searching for a new way of living, and an authenticity that is denied her by the rigid hierarchies of the day. As the notoriety of the group spread and more are drawn to follow Jesusâ€™ inspirational message, Maryâ€™s spiritual journey places her at the heart of a story that will lead to the capital city of Jerusalem, where she must confront the reality of Jesusâ€™ destiny and her own place within it.",15/03/2018,120.0,Her story will be told,10940439
A Wrinkle in Time,103000000,tt1620680,en,A Wrinkle in Time,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",08/03/2018,109.0,Be a warrior,132675864
Lean on Pete,8000000,tt5340300,en,Lean on Pete,"Charley, a teen living with his single father, finds work caring for an aging racehorse named Lean on Pete. When he learns Pete is bound for slaughter, the two embark on an odyssey across the new American frontier in search of a place to call home.",30/03/2018,119.0,You canâ€™t get anywhere on your own,1163056
Feather,0,tt5247192,it,Piuma,"Ferro and Cate, two kids trying to get to grips with an unplanned pregnancy, their families (rebellious Ferroâ€™s hospitable, â€˜normalâ€™ family, and level-headed Cateâ€™s unhinged, atypical one), exams at school, friends and a general lack of jobs.",20/10/2016,98.0,,229852
Novitiate,0,tt4513316,en,Novitiate,"In the early 1960s, during the Vatican II era, a young woman training to become a nun struggles with issues of faith, sexuality and the changing church.",27/10/2017,123.0,,580346
Maanagaram,779000,tt5559528,ta,à®®à®¾à®¨à®•à®°à®®à¯,A handful of diverse characters find themselves in extraordinary situations that are interlinked with one another.,10/03/2017,137.0,,1550000
The Happytime Murders,0,tt1308728,en,The Happytime Murders,"When the puppet cast of a '90s children's TV show begins to get murdered one by one, a disgraced LAPD detective-turned-private eye puppet takes on the case.",22/08/2018,91.0,No Sesame. All Street.,27506452
Furious,5610000,tt6054874,ru,Ð›ÐµÐ³ÐµÐ½Ð´Ð° Ð¾ ÐšÐ¾Ð»Ð¾Ð²Ñ€Ð°Ñ‚Ðµ,"A story of a legendary battle, where seventeen fearless warriors defend their land against an army of thousands well-trained soldiers. In 13th-century Mongol warrior hordes and their leader, Batu Khan, control most of the known world. As the Mongols move towards Europe they invade the last Russian principality standing in their way. Little do they know, their plans are about to be ruined by a small detachment of heroic strong men led by a mysterious brave warrior. This is a story about courage, endurance and self-sacrifice for the sake of one's country. This is the story of Evpaty the Furious.",30/11/2017,117.0,,10657499
Winchester,3500000,tt1072748,en,Winchester,"Firearm heiress Sarah Winchester is convinced that she is haunted by the souls killed at the hands of the Winchester repeating rifle. After the sudden deaths of her husband and child, she throws herself into the construction of an enormous mansion designed to keep the evil spirits at bay. But when a skeptical San Francisco psychiatrist is dispatched to the estate to evaluate her state of mind, he discovers that her obsession may not be so insane after all.",02/02/2018,99.0,Terror is building,25091816
Forever My Girl,3500000,tt4103724,en,Forever My Girl,"After being gone for a decade, a country star returns home to the love he left behind.",26/01/2018,104.0,Find your way back home,16367326
Godless Youth,0,tt5651338,de,Jugend ohne Gott,German students compete to enter one of the country's elite schools.,31/08/2017,114.0,,1192197
Midnight Sun,0,tt4799066,en,Midnight Sun,"Katie, a 17-year-old, has been sheltered since childhood and confined to her house during the day by a rare disease that makes even the smallest amount of sunlight deadly. Fate intervenes when she meets Charlie and they embark on a summer romance.",22/03/2018,91.0,Love will light the way.,27365467
Christopher Robin,75000000,tt4575576,en,Christopher Robin,"Working-class family man Christopher Robin encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.",02/08/2018,104.0,Don't underestimate the value of doing nothing.,99138899
Flower,0,tt2582784,en,Flower,"Rebellious, quick-witted Erica Vandross is a 17-year-old firecracker living with her single mom, Laurie, and her mom's new boyfriend, Bob, in L.A.'s San Fernando Valley. When Bob's mentally unbalanced son, Luke, arrives from rehab to live with the family, Erica finds her domestic and personal life overwhelmed. With Luke and her sidekicks Kala and Claudine in tow, Erica acts out by exposing a high school teacher's dark secret.",16/03/2018,94.0,Bad decisions. Good intentions.,327231
Show Dogs,0,tt5691024,en,Show Dogs,"Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening.",10/05/2018,92.0,Unleashed and undercover,38830219
Kin,0,tt6017942,en,Kin,"Co-directors Jonathan Baker and Josh Bakerâ€™s Sci-Fi action thriller features James Franco, Zoe Kravitz, and Dennis Quaid. A young boy (Myles Truitt) finds a powerful otherworldly weapon, which he uses to save his older adoptive brother (Jack Reynor) from a crew of thugs. Before long, the two of them are also pursued by federal agents and mysterious mercenaries aiming to reclaim their asset.",29/08/2018,,,10000000
Finding Your Feet,7154497,tt4538916,en,Finding Your Feet,A lady has her prim and proper life turned upside down after discovering her husband's affair.,26/12/2017,111.0,Everyone Deserves a Second Dance,15500000
Band Aid,10000000,tt5816374,en,Band Aid,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,02/06/2017,91.0,Misery loves accompaniment,248370
The Miseducation of Cameron Post,0,tt6257174,en,The Miseducation of Cameron Post,"In 1993 after teenage Cameron is caught in the backseat of a car with the prom queen, she is sent away to a treatment center in a remote area called God's Promise. While she is being subjected to questionable gay conversion therapies, she bonds with some fellow residents as they pretend to go along with the process while waiting to be released.",18/07/2018,90.0,,904703
Rampage,120000000,tt2231461,en,Rampage,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, itâ€™s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend.",12/04/2018,107.0,Big meets bigger,426245950
The Wound,0,tt6333070,xh,Inxeba,"Eastern Cape, South Africa. A lonely factory worker, Xolani, takes time off his job to assist during an annual Xhosa circumcision initiation into manhood. In a remote mountain camp that is off limits to women, young men, painted in white ochre, recuperate as they learn the masculine codes of their culture. In this environment of machismo and aggression, Xolani cares for a defiant initiate from Johannesburg, Kwanda, who quickly learns Xolani's best kept secret, that he is in love with another man.",19/04/2017,88.0,,142684
Lemon,0,tt5973364,en,Lemon,A man watches his life unravel after he is left by his blind girlfriend.,22/01/2017,90.0,,29258
The Great Father,9400000,tt5996836,ml,à´¦à´¿ à´—àµà´°àµ‡à´±àµà´±àµâ€Œ à´«à´¾à´¦à´°àµâ€,A businessman who is trying hard to be a good father to his daughter has a run-in with malevolent policeman.,30/03/2017,147.0,,9600000
Adrift,35000000,tt6306064,en,Adrift,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",31/05/2018,96.0,,4230000
Ghost Stories,0,tt5516328,en,Ghost Stories,"Professor Phillip Goodman devotes his life to exposing phony psychics and fraudulent supernatural shenanigans. His skepticism soon gets put to the test when he receives news of three chilling and inexplicable cases -- disturbing visions in an abandoned asylum, a car accident deep in the woods and the spirit of an unborn child. Even scarier -- each of the macabre stories seems to have a sinister connection to the professor's own life.",20/01/2018,98.0,The brain sees what it wants to see.,135095
The Lodgers,0,tt4399952,en,The Lodgers,"1920, rural Ireland. Anglo-Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The Lodgers) which enforces three rules upon the twins: they must be in bed by midnight; they may not permit an outsider past the threshold; and if one attempts to escape, the life of the other is placed in jeopardy. When troubled war veteran Sean returns to the nearby village, he is immediately drawn to the mysterious Rachel, who in turn begins to break the rules set out by The Lodgers. The consequences pull Rachel into a deadly confrontation with her brother - and with the curse that haunts them.",05/10/2017,93.0,,7362
The Hurricane Heist,35000000,tt5360952,en,The Hurricane Heist,Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.,01/02/2018,103.0,The ultimate storm for the perfect heist.,5400000
The Endless,0,tt3986820,en,The Endless,Two brothers return to the cult they fled from years ago to discover that the group's beliefs may be more sane than they once thought.,05/10/2017,112.0,,272020
Chappaquiddick,34000000,tt5270948,en,Chappaquiddick,"Ted Kennedy's life and political career become derailed in the aftermath of a fatal car accident in 1969 that claims the life of a young campaign strategist, Mary Jo Kopechne.",06/04/2018,107.0,The Untold True Story,17904202
Gook,0,tt6057032,en,Gook,"Eli and Daniel, two Korean American brothers who own a struggling women's shoe store, have an unlikely friendship with 11-year-old Kamilla. On the first day of the 1992 L.A. riots, the trio must defend their storeâ€”and contemplate the meaning of family, their personal dreams and the future.",18/08/2017,94.0,,250130
The Ritual,10000000,tt5638642,en,The Ritual,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",11/10/2017,94.0,Your Darkest Dream Awaits You,1056376
Lover for a Day,0,tt5642124,fr,L'amant d'un jour,"The story of a father, his 23-year-old daughter who goes back home one day because she has just been dumped, and his new girlfriend, who is also 23 and lives with him.",31/05/2017,76.0,,23692
The Breadwinner,0,tt3901826,en,The Breadwinner,"A headstrong young girl in Afghanistan, ruled by the Taliban, disguises herself as a boy in order to provide for her family.",17/11/2017,94.0,,312381
V.I.P.,0,tt6413410,ko,ë¸Œì´ì•„ì´í”¼,"A son to a high-ranked official in North Korea commits a series of murders going across the countries around the world. The movie depicts the following events as South Korea, North Korea and Interpol start chasing down after him.",23/08/2017,128.0,V.I.P.,9700000
Blockers,21000000,tt2531344,en,Blockers,"When three parents discover their daughtersâ€™ pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",14/03/2018,102.0,Teens out to have fun. Parents out to stop it.,93674786
Slender Man,10000000,tt5690360,en,Slender Man,"In a small town in Massachusetts, four high school girls perform a ritual in an attempt to debunk the lore of Slender Man. When one of the girls goes mysteriously missing, they begin to suspect that she is, in fact, his latest victim.",10/08/2018,93.0,Can you see him?,11817275
The Nun,22000000,tt5814060,en,The Nun,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the orderâ€™s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in â€œThe Conjuring 2,â€ as the abbey becomes a horrific battleground between the living and the damned.",05/09/2018,96.0,Pray For Forgiveness,364943149
CIA: Comrade In America,1400000,tt5925772,ml,CIA: Comrade In America,"A young Aji Mathew is a communist who goes the whole nine yards for the ideologies he believes in. When the girl he loves leaves to the US out of the blue and her parents fix her wedding, Aji is left with just a fortnight to reach the country albeit with no passport or visa. How far he is willing to go for love forms the plot.",05/05/2017,134.0,How far will you go for love?,3900000
Sobibor,0,tt6324614,ru,Ð¡Ð¾Ð±Ð¸Ð±Ð¾Ñ€,"Based on the true story, international historical project â€œSobiborâ€ is dedicated to the heroism of the Soviet o cer Alexander Pechersky. During the great Patriotic war, being in a Nazi concentration camp Sobibor he managed to do the impossible â€” for only three weeks to organize a revolt and mass escape of the prisoners. Part of the escapees were caught and shot, and the rest led by Pechersky managed to escape and joined the partisans.",03/05/2018,110.0,Based On a True Story That Changed The World,4988176
Baadshaho,12300000,tt4906960,hi,à¤¬à¤¾à¤¦à¤¶à¤¾à¤¹à¥‹,"Emergency has been declared in India. Maharani Gitanjali from one of Rajasthan's princely states has already lost her privy purse. Now, she fears that she will lose the last treasure chest of gold which has been forcibly taken away from her. So she asks her trusted lieutenant, Bhawani to step in and plan a heist.",01/09/2017,136.0,,27000000
The First Purge,13000000,tt6133466,en,The First Purge,"To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation.",04/07/2018,97.0,A Nation Reborn,41953945
"Don't Worry, He Won't Get Far on Foot",0,tt6288124,en,"Don't Worry, He Won't Get Far on Foot","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life.",04/04/2018,113.0,,2066633
Finding Momo,0,tt6556552,fr,Momo,"One evening, when they come home, Mr. and Mrs. Prioux are astounded to find that a certain Patrick has moved into their place. This strange young man has returned home to his parents in order to introduce his wife.",27/12/2017,85.0,,5011944
Three Seconds,0,tt5987402,ru,Ð”Ð²Ð¸Ð¶ÐµÐ½Ð¸Ðµ Ð²Ð²ÐµÑ€Ñ…,"The story is set at the 1972 Munich Olympics where the U.S. team lost the basketball championship for the first time in 36 years. The final moments of the final game have become one of the most controversial events in Olympic history. With play tied, the score table horn sounded during a second free throw attempt that put the U.S. ahead by one. But the Soviets claimed they had called for a time out before the basket and confusion ensued. The clock was set back by three seconds twice in a row and the Russians finally prevailed at the very last. The U.S. protested, but a jury decided in the USSRâ€™s favor and Team USA voted unanimously to refuse its silver medals. The Soviet players have been treated as heroes at home.",28/12/2017,133.0,,51169464
Game Night,37000000,tt2704998,en,Game Night,"Max and Annie's weekly game night gets kicked up a notch when Max's brother Brooks arranges a murder mystery party -- complete with fake thugs and federal agents. So when Brooks gets kidnapped, it's all supposed to be part of the game. As the competitors set out to solve the case, they start to learn that neither the game nor Brooks are what they seem to be. The friends soon find themselves in over their heads as each twist leads to another unexpected turn over the course of one chaotic night.",22/02/2018,101.0,This is not a game.,117501013
The Darkest Minds,0,tt4073790,en,The Darkest Minds,"After a disease kills 98% of America's children, the surviving 2% develop superpowers and are placed in internment camps. A 16-year-old girl escapes her camp and joins a group of other teens on the run from the government.",02/08/2018,105.0,The ones who changed will change everything,24420461
Skyscraper,125000000,tt5758778,en,Skyscraper,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",11/07/2018,103.0,Don't look down,292351275
A Quiet Place,17000000,tt6644200,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,03/04/2018,91.0,"If they hear you, they hunt you.",332583447
"Love, Simon",17000000,tt5164432,en,"Love, Simon",Everyone deserves a great love story. But for seventeen-year old Simon Spier it's a little more complicated: he's yet to tell his family or friends he's gay and he doesn't know the identity of the anonymous classmate he's fallen for online.,16/02/2018,110.0,He's done keeping his story straight.,60848932
Ovunque tu sarai,0,tt5601582,en,Ovunque tu sarai,"Francesco, Carlo, Loco e Giordano, lifelong friends, depart from Rome towards Madrid to celebrate the bachelor party of Francesco but above all to make, as happened on other occasions, a trip together. In fact, the trip is also an excuse to go see their favorite team away in the Champions League. In their path intersect to Pilar, a beautiful Spanish singer who, unknowingly, brings havoc within a close-knit group favoring, including unexpected, laughter and comical situations, even the come to diversity afloat, insecurities and never those words. On their return, nothing will be as before.",06/04/2017,89.0,,97749
Custody,0,tt6002232,fr,Jusqu'Ã  la garde,"In the midst of a divorce, Miriam Besson decides to ask for exclusive custody to her son, in order to protect him from a father that she is accusing of violence. The judge-in-charge of the file grants a shared custody to the father whom it considers abused. Taken as a hostage between his parents, Julien Besson will do everything to prevent the worst from happening.",07/02/2018,93.0,,81455
Mazinger Z: Infinity,0,tt6470762,ja,åŠ‡å ´ç‰ˆãƒžã‚¸ãƒ³ã‚¬ãƒ¼Z,"When the evil Dr. Hell attacks the Earth, the mighty giant mecha Mazinger Z is formed to stop him.",13/01/2018,107.0,,2732673
The 15:17 to Paris,30000000,tt6802308,en,The 15:17 to Paris,"In August 2015, an ISIS terrorist boarded train #9364 from Brussels to Paris. Armed with an AK-47 and enough ammo to kill more than 500 people, the terrorist might have succeeded except for three American friends who refused to give in to fear. One was a college student, one was a martial arts enthusiast and airman first class in the U.S. Air Force, and the other was a member of the Oregon National Guard, and all three pals proved fearless as they charged and ultimately overpowered the gunman after he emerged from a bathroom armed and ready to kill.",16/01/2018,94.0,In the face of fear ordinary people can do the extraordinary,56150957
Action Point,19000000,tt6495770,en,Action Point,A daredevil designs and operates his own theme park with his friends.,01/06/2018,85.0,Real Stunts. Real Thrills. Real Messed Up.,5059608
God's Not Dead: A Light in Darkness,0,tt6652708,en,God's Not Dead: A Light in Darkness,"Pastor Dave  responds to the unimaginable tragedy of having his church, located on the grounds of the local university, burned down.",30/03/2018,105.0,,5728940
Overboard,12000000,tt1563742,en,Overboard,"A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee. A remake of the 1987 comedy.",03/05/2018,112.0,A riches to rags story. If only he could remember it.,15425000
The Spy Who Dumped Me,40000000,tt6663582,en,The Spy Who Dumped Me,Audrey and Morgan are best friends who unwittingly become entangled in an international conspiracy when one of the women discovers the boyfriend who dumped her was actually a spy.,02/08/2018,117.0,They got this,33562069
Crazy Rich Asians,30000000,tt3104988,en,Crazy Rich Asians,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",15/08/2018,121.0,The only thing crazier than love is family,237994561
Tag,28000000,tt2854926,en,Tag,"For one month every year, five highly competitive friends hit the ground running in a no-holds-barred game of tag theyâ€™ve been playing since the first grade. This year, the game coincides with the wedding of their only undefeated player, which should finally make him an easy target. But he knows theyâ€™re coming...and heâ€™s ready.",30/05/2018,100.0,Based on  a true story. Weâ€™re not kidding.,75100000
Support the Girls,0,tt6859352,en,Support the Girls,"Lisa Conroy may not love managing the restaurant Double Whammies, but she loves her employees more than anything, not only Danyelle, and Maci, her closest friends, but also her extended family. Unfortunately, the cheap, curmudgeonly owner Ben Cubby doesnâ€™t care nearly as much, and confronts Lisa when he learns that sheâ€™s using the restaurant to raise money for Shaina, an employee in legal trouble related to an abusive boyfriend. To get even, the girls decide to sabotage the restaurant on the night of a major mixed martial arts fight.",24/08/2018,90.0,,129124
Youth,0,tt6654316,zh,èŠ³åŽ,"Performing art troupe members each face their own trials and tribulations in Chengdu; from escaping a family scandal to dealing with unrequited love, each experiences rejection that shapes their lives in this coming-of-age tale selected to play at the Toronto International Film Festival.  Directed by Chinese helming legend Feng Xiaogang.",15/12/2017,136.0,,224160000
The Scythian,2500000,tt7844166,ru,Ð¡ÐºÐ¸Ñ„,"These are times when one civilization is replacing another. A new era is about to begin in Central Eurasia. Scythians, the proud warriors, are all but gone. The few of their descendants have become ruthless mercenary assassins, the â€œwaves of Ares.â€ Lutobor, is a soldier with a difficult task at hand. He becomes involved in internecine conflicts and sets off on a perilous journey to save his family. His guide is a captive Scythian by the name of Weasel. Lutobor and Weasel are enemies. They pray to different gods but must embark on this journey together. They brave the wild steppes, moving toward the last haven of the Scythians, to what seems to be their inevitable demiseâ€¦",18/01/2018,105.0,Last Warrior Of The Wild Steppe,1053002
Mamma Mia! Here We Go Again,75000000,tt6911608,en,Mamma Mia! Here We Go Again,"Five years after meeting her three fathers, Sophie Sheridan prepares to open her motherâ€™s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophieâ€™s biological father.",18/07/2018,120.0,Discover how it all began,167225525
Peppermint,0,tt6850820,en,Peppermint,"A grieving mother transforms herself into a vigilante following the murders of her husband and daughter, eluding the authorities to deliver her own personal brand of justice.",06/09/2018,102.0,The system failed. She won't.,48818723
First Reformed,3500000,tt6053438,en,First Reformed,A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,18/05/2018,113.0,,2525738
Boo 2! A Madea Halloween,10000000,tt6217804,en,Boo 2! A Madea Halloween,"Madea and the gang encounter monsters, goblins and boogeymen at a haunted campground.",20/10/2017,103.0,Peek-A-Boo.,48333932
Truth or Dare,3500000,tt6772950,en,Truth or Dare,"A harmless game of ""Truth or Dare"" among friends turns deadly when someoneâ€”or somethingâ€”begins to punish those who tell a lieâ€”or refuse the dare.",12/04/2018,100.0,"First you play the game, then the game plays you.",94841481
Operation Red Sea,70000000,tt6878882,zh,çº¢æµ·è¡ŒåŠ¨,The film is loosely based on the evacuation of the 225 foreign nationals and almost 600 Chinese citizens from Yemen's southern port of Aden during the 2015 Yemeni Civil War.,16/02/2018,142.0,,579220560
I Feel Pretty,32000000,tt6791096,en,I Feel Pretty,A head injury causes a woman to develop an extraordinary amount of confidence and believe she's drop dead gorgeous.,19/04/2018,111.0,Change everything Without changing anything.,51748264
Pari,2600000,tt7329858,hi,à¤ªà¤°à¥€,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her.",02/03/2018,135.0,Not A Fairy Tale,6000000
Ittefaq,4400000,tt6692354,hi,à¤‡à¤¤à¥à¤¤à¥‡à¥žà¤¾à¥˜,"Police officer Dev investigates a double murder case that has only two witnesses - an acclaimed writer Vikram and a young homemaker Maya, who also happen to be the prime suspects in the case. He finds himself being torn between their own version's of what happened on the fateful night, and takes it upon himself to figure out the real story and capture the real murderer.",03/11/2017,107.0,It Happened One Night,7900000
Acrimony,20000000,tt6063050,en,Acrimony,A faithful wife takes action when it becomes clear to her that her devious husband has betrayed her.,30/03/2018,120.0,Hell Hath No Fury,34764055
Every Day,4900000,tt7026672,en,Every Day,"16-year old Rhiannon falls in love with a mysterious spirit named â€œAâ€ that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and â€œAâ€ work each day to find each other, not knowing what the next day will bring.",22/02/2018,97.0,Every day a different body. Every day a different life. Every day in love with the same girl.,6102076
"How Viktor ""The Garlic"" Took Alexey ""The Stud"" to the Nursing Home",441755,tt5837242,ru,ÐšÐ°Ðº Ð’Ð¸Ñ‚ÑŒÐºÐ° Ð§ÐµÑÐ½Ð¾Ðº Ð²ÐµÐ· Ð›ÐµÑ…Ñƒ Ð¨Ñ‚Ñ‹Ñ€Ñ Ð² Ð´Ð¾Ð¼ Ð¸Ð½Ð²Ð°Ð»Ð¸Ð´Ð¾Ð²,"Viktor spends his free time trawling bars with ladies of questionable repute, from where he is picked up by a wife he doesnâ€™t love, the mother of a child they never planned. Viktor himself was abandoned by his own father, his mother then committed suicide, and he was left to grow up in an orphanage. Years later, his errant dad returns, now a disabled felon, and Viktor discovers a timely legacy is in the offing â€“ his fatherâ€™s apartment. The documentation for securing dadâ€™s move into an old peopleâ€™s home is signed in a flash. Nevertheless, the only one that can take him is miles away and, whatâ€™s more, the invalid starts to recuperate during the journey, which is when their real problems begin.",23/03/2018,90.0,,95589
